"","code","year","id","econ","social","public","structure","policy","econ.1","social.1","public.1","structure.1","policy.1","ida","ibrd","gdp","class"
"1","AFG",1990,1,NA,NA,NA,NA,NA,0,0,0,0,0,9589282490,23114399370,"..","L"
"2","AFG",1991,1,NA,NA,NA,NA,NA,0,0,0,0,0,10537895850,24971725460,"..","L"
"3","AFG",1992,1,NA,NA,NA,NA,NA,0,0,0,0,0,8802746893,21282190900,"..","L"
"4","AFG",1993,1,NA,NA,NA,NA,NA,0,0,0,0,0,7663993370,21830079050,"..","L"
"5","AFG",1994,1,NA,NA,NA,NA,NA,0,0,0,0,0,9950192635,22467895230,"..","L"
"6","AFG",1995,1,NA,NA,NA,NA,NA,0,0,0,0,0,7437802481,19768261930,"..","L"
"7","AFG",1996,1,NA,NA,NA,NA,NA,0,0,0,0,0,8416734241,19622300850,"..","L"
"8","AFG",1997,1,NA,NA,NA,NA,NA,0,0,0,0,0,8045435258,24943267610,"..","L"
"9","AFG",1998,1,NA,NA,NA,NA,NA,0,0,0,0,0,10303508770,35078850630,"..","L"
"10","AFG",1999,1,NA,NA,NA,NA,NA,0,0,0,0,0,7950383628,19261064690,"..","L"
"11","AFG",2000,1,NA,NA,NA,NA,NA,0,0,0,0,0,8509870034,15469753020,"..","L"
"12","AFG",2001,1,NA,NA,NA,NA,NA,0,0,0,0,0,10385482238,17716293090,"..","L"
"13","AFG",2002,1,NA,NA,NA,NA,NA,0,0,0,0,0,11687274952,14910140020,"..","L"
"14","AFG",2003,1,NA,NA,NA,NA,NA,0,0,0,0,0,9609629096,13454889380,"3.52824472159421","L"
"15","AFG",2004,1,NA,NA,NA,NA,NA,0,0,0,0,0,13270522560,14520988510,"-3.21237869377818","L"
"16","AFG",2005,1,NA,NA,NA,NA,NA,2.089147284,1.889922481,1.827131783,2.002583979,1.965956075,8669074554,16052814950,"7.07408779676268","L"
"17","AFG",2006,1,3.3333333,2.3,2.3,2.5,2.6083333,2.119121449,1.903875969,1.839534884,2.026098191,1.985852716,8690563830,15084194260,"2.26949026879875","L"
"18","AFG",2007,1,3.1666667,2.3,2.2,2.3333333,2.5,2.040051682,1.865116279,1.774418605,1.96382429,1.918217052,13173388440,11975457320,"10.6901618053666","L"
"19","AFG",2008,1,3.2,2.5,2.2,2.5,2.6,2.034108527,1.896124031,1.775968992,1.95503876,1.91627907,11810651571,22704755240,"1.06803577565032","L"
"20","AFG",2009,1,3.3333333,2.6,2.4,2.6666667,2.75,2.070512822,1.934615385,1.82,1.996153845,1.955320512,16211210000,43637067000,"18.0023930342451","L"
"21","AFG",2010,1,3,2.6,2.4,2.5,2.625,2.065384616,1.953846154,1.823076923,1.983333333,1.956410257,14224954970,37396193670,"5.50583822732263","L"
"22","AFG",2011,1,3,2.7,2.5,2.5,2.675,2.058524174,1.961068702,1.834351145,1.979643766,1.958396944,13739456142,18254825690,"2.99405151979005","L"
"23","AFG",2012,1,3,2.7,2.5,2.5,2.675,2.081424936,2.003816794,1.865648855,2.013994911,1.991221376,NA,NA,"10.9022578837831","L"
"24","AFG",2013,1,3,2.6,2.5,2.5,2.65,2.086513994,2.020610687,1.882442748,2.040712469,2.007569977,NA,NA,"-1.21669484310273","L"
"25","AGO",1990,2,NA,NA,NA,NA,NA,0,0,0,0,0,9589282490,23114399370,"-3.04946928767444","LM"
"26","AGO",1991,2,NA,NA,NA,NA,NA,0,0,0,0,0,10537895850,24971725460,"-4.16518683383632","LM"
"27","AGO",1992,2,NA,NA,NA,NA,NA,0,0,0,0,0,8802746893,21282190900,"-9.86058566876989","LM"
"28","AGO",1993,2,NA,NA,NA,NA,NA,0,0,0,0,0,7663993370,21830079050,"-27.1459861941568","LM"
"29","AGO",1994,2,NA,NA,NA,NA,NA,0,0,0,0,0,9950192635,22467895230,"0.212994007187845","LM"
"30","AGO",1995,2,NA,NA,NA,NA,NA,0,0,0,0,0,7437802481,19768261930,"7.06342730951465","L"
"31","AGO",1996,2,NA,NA,NA,NA,NA,0,0,0,0,0,8416734241,19622300850,"8.03461164178576","L"
"32","AGO",1997,2,NA,NA,NA,NA,NA,0,0,0,0,0,8045435258,24943267610,"4.95226609886635","L"
