"","aiddata_id","year","commitment_date","start_date","end_date","donor","donor_iso2","donor_iso3","umbrella","donor_project_id","crsid","financing_agency","donor_type","bi_multi","recipient","recipient_iso2","recipient_iso3","private_recipient","implementing_agency","channel_code","borrower","beneficiary","guarantor","other_involved_institutions","commitment_amount","commitment_amount_currency","commitment_amount_usd_nominal","commitment_amount_usd_constant","disbursement_amount","disbursement_amount_currency","disbursement_amount_usd_nominal","disbursement_amount_usd_constant","total_project_cost","total_project_cost_currency","total_project_cost_usd_nominal","total_project_cost_usd_constant","title","short_description","short_description_original_language","long_description","long_description_original_language","additional_info","additional_info_original_language","flow_type","crs_flow_name","number_repayments_per_year","repay_type","loan_term","grace_period","interest_rate","second_interest_rate","grant_element","cancelled","repay_date_first","repay_date_last","untied_amount_usd_nominal","partial_tied_amount_usd_nominal","tied_amount_usd_nominal","received_amount_usd_nominal","irtc_amount_usd_nominal","expert_commitment_amount_usd_nominal","expert_extended_amount_usd_nominal","export_credit_amount_usd_nominal","outstanding_amount_usd_nominal","arrears_principal_amount_usd_nominal","arrears_interest_amount_usd_nominal","future_ds_principal_amount_usd_nominal","future_ds_interest_amount_usd_nominal","region","location","source","language","biodiversity","climate","desertification","crs_purpose_code","crs_purpose_name","gender","trade","pdgg","ftc","sector_programme","sector","sector_code","associated_financing","initial_report","finance_t","environmental_impact_assessment","environment","investment_project","aiddata_purpose_code","aiddata_purpose_name","aiddata_activity_code","aiddata_activity_name","aiddata_feasibility_study","aiddata_technical_assistance","coalesced_purpose_code","coalesced_purpose_name","aiddata_is_conflict"
"1",5914733,1979,"","","","United States","US","USA","","","791078","AID","Bilateral",1,"Turkey","TR","TUR","","",NA,"","","","",6e+07,"USD",6e+07,150292000,NA,"USD",NA,NA,NA,"",NA,NA,"","CASH TRANSFER","","","","","","ODA Loans","ODA Loans",NA,NA,"","","",NA,NA,"","","",NA,60,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","Europe","","OECD CRS","English",NA,NA,NA,51010,"General budget support",NA,NA,NA,NA,NA,"VI.1. General Budget Support",510,NA,1,410,"",NA,"",NA,"","","","","",51010,"General budget support",""
"2",5914770,1979,"","","","United States","US","USA","","","791079","AID","Bilateral",1,"Israel","IL","ISR","","",NA,"","","","",2.6e+08,"USD",2.6e+08,651266000,NA,"USD",NA,NA,NA,"",NA,NA,"","CASH TRANSFER","","","","","","ODA Loans","ODA Loans",NA,NA,"","","",NA,NA,"","","",NA,260,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","Middle East","","OECD CRS","English",NA,NA,NA,51010,"General budget support",NA,NA,NA,NA,NA,"VI.1. General Budget Support",510,NA,1,410,"",NA,"",NA,"","","","","",51010,"General budget support",""
"3",6006512,1980,"","","","United States","US","USA","","","801086","AID","Bilateral",1,"Turkey","TR","TUR","","",NA,"","","","",6.6e+07,"USD",6.6e+07,151508000,NA,"USD",NA,NA,NA,"",NA,NA,"","CASH TRANSFER","","","","","","ODA Loans","ODA Loans",NA,NA,"","","",NA,NA,"","","",NA,66,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","Europe","","OECD CRS","English",NA,NA,NA,51010,"General budget support",NA,NA,NA,NA,NA,"VI.1. General Budget Support",510,NA,1,410,"",NA,"",NA,"","","","","",51010,"General budget support",""
"4",6007062,1980,"","","","United States","US","USA","","","809751","AID","Bilateral",1,"Israel","IL","ISR","","",NA,"","","","",7.85e+08,"USD",7.85e+08,1802030000,NA,"USD",NA,NA,NA,"",NA,NA,"","CASH TRANSFER","","","","","","ODA Grants","ODA Grants",NA,NA,"","","",NA,NA,"","","",NA,785,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","Middle East","","OECD CRS","English",NA,NA,NA,51010,"General budget support",NA,NA,NA,NA,NA,"VI.1. General Budget Support",510,NA,1,110,"",NA,"",NA,"","","","","",51010,"General budget support",""
"5",6003948,1980,"","","","United States","US","USA","","","801002","AID","Bilateral",1,"Turkey","TR","TUR","","",NA,"","","","",6.3e+07,"USD",6.3e+07,144621000,NA,"USD",NA,NA,NA,"",NA,NA,"","CASH TRANSFER","","","","","","ODA Loans","ODA Loans",NA,NA,"","","",NA,NA,"","","",NA,63,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","Europe","","OECD CRS","English",NA,NA,NA,51010,"General budget support",NA,NA,NA,NA,NA,"VI.1. General Budget Support",510,NA,1,410,"",NA,"",NA,"","","","","",51010,"General budget support",""
"6",6273228,1982,"","","","United States","US","USA","","","829525","AID","Bilateral",1,"Israel","IL","ISR","","",NA,"","","","",8.06e+08,"USD",8.06e+08,1594430000,NA,"USD",NA,NA,NA,"",NA,NA,"","CASH TRANSFER","","","","","","ODA Grants","ODA Grants",NA,NA,"","","",NA,NA,"","","",NA,806,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","Middle East","","OECD CRS","English",NA,NA,NA,51010,"General budget support",NA,NA,NA,NA,NA,"VI.1. General Budget Support",510,NA,1,110,"",NA,"",NA,"","","","","",51010,"General budget support",""
"7",6273164,1982,"","","","United States","US","USA","","","829521","AID","Bilateral",1,"Turkey","TR","TUR","","",NA,"","","","",2e+08,"USD",2e+08,395640000,NA,"USD",NA,NA,NA,"",NA,NA,"","CASH TRANSFER","","","","","","ODA Grants","ODA Grants",NA,NA,"","","",NA,NA,"","","",NA,200,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","Europe","","OECD CRS","English",NA,NA,NA,51010,"General budget support",NA,NA,NA,NA,NA,"VI.1. General Budget Support",510,NA,1,110,"",NA,"",NA,"","","","","",51010,"General budget support",""
"8",6270203,1982,"","","","United States","US","USA","","","821064","AID","Bilateral",1,"Costa Rica","CR","CRI","","",NA,"","","","",1.5e+07,"USD",1.5e+07,29673000,NA,"USD",NA,NA,NA,"",NA,NA,"","CASH TRANSFER","","","","","","ODA Loans","ODA Loans",NA,NA,"","","",NA,NA,"","","",NA,15,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","North & Central America","","OECD CRS","English",NA,NA,NA,51010,"General budget support",NA,NA,NA,NA,NA,"VI.1. General Budget Support",510,NA,1,410,"",NA,"",NA,"","","","","",51010,"General budget support",""
"9",6271973,1982,"","","","United States","US","USA","","","821136","AID","Bilateral",1,"Belize","BZ","BLZ","","",NA,"","","","",4600000,"USD",4600000,9099720,NA,"USD",NA,NA,NA,"",NA,NA,"","CASH TRANSFER","","","","","","ODA Loans","ODA Loans",NA,NA,"","","",NA,NA,"","","",NA,4.6,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","North & Central America","","OECD CRS","English",NA,NA,NA,51010,"General budget support",NA,NA,NA,NA,NA,"VI.1. General Budget Support",510,NA,1,410,"",NA,"",NA,"","","","","",51010,"General budget support",""
"10",6629502,1983,"","","","United States","US","USA","","","821130","AID","Bilateral",1,"Costa Rica","CR","CRI","","",NA,"","","","",4490000,"USD",4490000,8544240,NA,"USD",NA,NA,NA,"",NA,NA,"","CASH TRANSFER","","","","","","ODA Loans","ODA Loans",NA,NA,"","","",NA,NA,"","","",NA,4.49,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","North & Central America","","OECD CRS","English",NA,NA,NA,51010,"General budget support",NA,NA,NA,NA,NA,"VI.1. General Budget Support",510,NA,3,410,"",NA,"",NA,"","","","","",51010,"General budget support",""
