id,citation
1,"Fiszbein, Ariel; Schady, Norbert; Ferreira, Francisco H.G.; Grosh, Margaret; Keleher, Niall; Olinto, Pedro; Skoufias, Emmanuel. 2009. Conditional Cash Transfers : Reducing Present and Future Poverty. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/2597 License: CC BY 3.0 IGO."
2,"Infante-Villarroel, Mariana. 2015. The Experience of Cash Transfers in Myanmar : Lessons from a Social Protection and Poverty Reduction Perspective. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22323 License: CC BY 3.0 IGO."
3,"Garcia, Marito; Moore, Charity M. T.. 2012. The Cash Dividend : The Rise of Cash Transfer Programs in Sub-Saharan Africa. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/2246 License: CC BY 3.0 IGO."
4,"Golan, Jennifer; Sicular, Terry; Umapathi, Nithin. 2015. Unconditional Cash Transfers in China : An Analysis of the Rural Minimum Living Standard Guarantee Program. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/22458 License: CC BY 3.0 IGO."
5,"de Hoop, Jacobus; Rosati, Furio C.. 2014. Cash Transfers and Child Labor. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17715 License: CC BY 3.0 IGO."
6,"Das, Jishnu; Do, Quy-Toan; Ozler, Berk. 2005. Reassessing Conditional Cash Transfer Programs. Oxford University Press on behalf of the World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/16405 License: CC BY-NC-ND 3.0 IGO."
7,"Rawlings, Laura B.; Rubio, Gloria M.. 2005. Evaluating the Impact of Conditional Cash Transfer Programs. Oxford University Press on behalf of the World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/16406 License: CC BY-NC-ND 3.0 IGO."
8,"Filmer, Deon; Schady, Norbert. 2009. Are There Diminishing Returns to Transfer Size in Conditional Cash Transfers?. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4191 License: Creative Commons Attribution CC BY 3.0."
9,"Barrientos, Armando. 2004. Cash Transfers for Older People Reduce Poverty and Inequality. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/9059 License: CC BY 3.0 Unported."
10,"World Bank. 2013. Philippines Conditional Cash Transfer Program : Impact Evaluation 2012. Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/13244 License: CC BY 3.0 IGO."
